ID,Delivery_person_ID,Delivery_person_Age,Delivery_person_Ratings,Restaurant_latitude,Restaurant_longitude,Delivery_location_latitude,Delivery_location_longitude,Order_Date,Time_Orderd,Time_Order_picked,Weatherconditions,Road_traffic_density,Vehicle_condition,Type_of_order,Type_of_vehicle,multiple_deliveries,Festival,City,Time_taken(min),Restaurant_address,Delivery_address
4607,INDORES13DEL02,37,4.9,22.745049,75.892471,22.765049,75.912471,19-03-2022,11:30:00,11:45:00,conditions Sunny,High ,2,Snack ,motorcycle ,0,No ,Urban ,(min) 24,"Indore City, Indore, Juni Indore Tahsil, Indore, Madhya Pradesh, 452001, India","Balaji Heights, Piplya Kumar, Indore, Juni Indore Tahsil, Indore, Madhya Pradesh, 452001, India"
B379,BANGRES18DEL02,34,4.5,12.913041,77.683237,13.043041,77.813237,25-03-2022,19:45:00,19:50:00,conditions Stormy,Jam ,2,Snack ,scooter ,1,No ,Metropolitian ,(min) 33,"Byg Brewsky, Sarjapura Road, Junnasandra, Doddakannalli, Bangalore East, Bengaluru Urban, Karnataka, 560035, India","Ganagaluru, Hosakote taluk, Bengaluru Rural, Karnataka, 562114, India"
5D6D,BANGRES19DEL01,23,4.4,12.914264,77.6784,12.924264,77.6884,19-03-2022,08:30:00,08:45:00,conditions Sandstorms,Low ,0,Drinks ,motorcycle ,1,No ,Urban ,(min) 26,"The Hoot Cafe & Brewery, BBMP 2034/69,Sarjapur Main Road, Block 2 Village, Varthur Hobli, Kaikondrahalli, Sarjapur Road, Iblur, Bengaluru, Bangalore South, Bengaluru Urban, Karnataka, 560035, India","Cadence Design Systems (India) Private Limited, 21, RMZ Eco World Rd, RMZ Eco World, Devarabeesanahalli, Bengaluru, Bangalore East, Bengaluru Urban, Karnataka, 560103, India"
7A6A,COIMBRES13DEL02,38,4.7,11.003669,76.976494,11.053669,77.026494,05-04-2022,18:00:00,18:10:00,conditions Sunny,Medium ,0,Buffet ,motorcycle ,1,No ,Metropolitian ,(min) 21,"Bishop Appasamy College, Thirugnanasambandam Road, Ward 71, Central Zone, Coimbatore, Coimbatore North, Coimbatore, Tamil Nadu, 641001, India","Ward 36, East Zone, Coimbatore, Coimbatore North, Coimbatore, Tamil Nadu, 641001, India"
70A2,CHENRES12DEL01,32,4.6,12.972793,80.249982,13.012793,80.289982,26-03-2022,13:30:00,13:45:00,conditions Cloudy,High ,1,Snack ,scooter ,1,No ,Metropolitian ,(min) 30,"Jayendra Colony, Ward 183, Zone 14 Perungudi, Sholinganallur, Chennai, Tamil Nadu, 600041, India","Urur Kuppam, Ward 176, Zone 13 Adyar, Chennai, Tamil Nadu, 600001, India"
9BB4,HYDRES09DEL03,22,4.8,17.431668,78.408321,17.461668,78.438321,11-03-2022,21:20:00,21:30:00,conditions Cloudy,Jam ,0,Buffet ,motorcycle ,1,No ,Urban ,(min) 26,"Road Number 21, Jubilee Hills, Ward 95 Jubilee Hills, Greater Hyderabad Municipal Corporation Central Zone, Hyderabad, Shaikpet mandal, Hyderabad, Telangana, 500033, India","Bharath Nagar, Ward 118 Fateh Nagar, Greater Hyderabad Municipal Corporation West Zone, Hyderabad, Balanagar mandal, Medchal–Malkajgiri, Telangana, 500018, India"
95B4,RANCHIRES15DEL01,33,4.7,23.369746,85.33982,23.479746,85.44982,04-03-2022,19:15:00,19:30:00,conditions Fog,Jam ,1,Meal ,scooter ,1,No ,Metropolitian ,(min) 40,"The Best, Ground Floor, RS Tower, circular road, Lālpur, Ranchi, Kanke, Ranchi, Jharkhand, 834001, India","MDR016, Ormanjhi, Ranchi, Jharkhand, 835219, India"
9EB2,MYSRES15DEL02,35,4.6,12.352058,76.60665,12.482058,76.73665,14-03-2022,17:25:00,17:30:00,conditions Cloudy,Medium ,2,Meal ,motorcycle ,1,No ,Metropolitian ,(min) 32,"Hotel Stay by the Way, Ring Road, Kumbara Koppalu, Hebbalu, Mysuru, Mysuru taluk, Mysuru, Karnataka, 570001, India","Doddabyadarahalli, Pandavapura taluk, Mandya, Karnataka, India"
1102,HYDRES05DEL02,22,4.8,17.433809,78.386744,17.563809,78.516744,20-03-2022,20:55:00,21:05:00,conditions Stormy,Jam ,0,Buffet ,motorcycle ,1,No ,Metropolitian ,(min) 34,"Inorbit Mall Cyberabad, Inorbit Mall Road, Kavuri Hills, Ward 104 Kondapur, Greater Hyderabad Municipal Corporation West Zone, Hyderabad, Serilingampalle mandal, Ranga Reddy, Telangana, 500081, India","Shamirpet mandal, Medchal–Malkajgiri, Telangana, 500100, India"
CDCD,DEHRES17DEL01,36,4.2,30.327968,78.046106,30.397968,78.116106,12-02-2022,21:55:00,22:10:00,conditions Fog,Jam ,2,Snack ,motorcycle ,3,No ,Metropolitian ,(min) 46,"South Indian Vibes, Rajpur-Mussoorie Road, Dehradun, Uttarakhand, 248001, India","bashwalgaon, rajrajeshwari, Dehradun, Uttarakhand, 248009, India"
D987,KOCRES16DEL01,21,4.7,10.003064,76.307589,10.043064,76.347589,13-02-2022,14:55:00,15:05:00,conditions Stormy,High ,1,Meal ,motorcycle ,1,No ,Metropolitian ,(min) 23,"City Silks, Civil Line Road, Palarivattom, Ernakulam, Kanayannur, Ernakulam, Kerala, 682025, India","Kangarappady, Ernakulam, Kanayannur, Ernakulam, Kerala, 682022, India"
2784,PUNERES13DEL03,23,4.7,18.56245,73.916619,18.65245,74.006619,04-03-2022,17:30:00,17:40:00,conditions Sandstorms,Medium ,1,Drinks ,scooter ,1,No ,Metropolitian ,(min) 21,"Phoenix Marketcity, 207, Viman Nagar Road, Ward 12, Pune City, Pune, Maharashtra, 411014, India","Haveli, Pune, Maharashtra, 412216, India"
C8B6,LUDHRES15DEL02,34,4.3,30.899584,75.809346,30.919584,75.829346,13-02-2022,09:20:00,09:30:00,conditions Sandstorms,Low ,0,Buffet ,motorcycle ,0,No ,Metropolitian ,(min) 20,"Ferozepur Road, Gurudev Nagar, Ludhiana, Ludhiana (West) Tahsil, Ludhiana, Punjab, 141002, India","Ludhiana, Ludhiana (West) Tahsil, Ludhiana, Punjab, 141008, India"
DB64,KNPRES14DEL02,24,4.7,26.463504,80.372929,26.593504,80.502929,14-02-2022,19:50:00,20:05:00,conditions Fog,Jam ,1,Snack ,scooter ,1,No ,Metropolitian ,(min) 41,"Kanpur Cantonment, Kanpur, Kanpur Nagar, Uttar Pradesh, 208004, India","Unnao, Uttar Pradesh, 209800, India"
3AF3,MUMRES15DEL03,29,4.5,19.176269,72.836721,19.266269,72.926721,02-04-2022,20:25:00,20:35:00,conditions Sandstorms,Jam ,2,Buffet ,electric_scooter ,1,No ,Metropolitian ,(min) 20,"Goregaon Link Road, Bangur Nagar, P/S Ward, Zone 4, Mumbai Suburban, Maharashtra, 400090, India","Gaimukh, Thane, Thane Taluka, Thane, Maharashtra, 401107, India"
3AAB,MYSRES01DEL01,35,4,12.311072,76.654878,12.351072,76.694878,01-03-2022,14:55:00,15:10:00,conditions Windy,High ,1,Meal ,scooter ,1,No ,Metropolitian ,(min) 33,"RRR Hotel, Gandhi Square, Mandi Mohalla, Mysuru, Mysuru taluk, Mysuru, Karnataka, 570001, India","Kamanakere Hundi, Mysuru taluk, Mysuru, Karnataka, 570020, India"
689B,PUNERES20DEL01,33,4.2,18.592718,73.773572,18.702718,73.883572,16-03-2022,20:30:00,20:40:00,conditions Sandstorms,Jam ,2,Snack ,motorcycle ,1,No ,Metropolitian ,(min) 40,"Kaspate Vasti Road, Kaspate Vasti, Wakad, Mulshi, Pune, Maharashtra, 411027, India","Chakan-Alandi (Alankapuri) Road, Alandi, Khed, Pune, Maharashtra, 412105, India"
6F67,HYDRES14DEL01,34,4.9,17.426228,78.407495,17.496228,78.477495,20-03-2022,20:40:00,20:50:00,conditions Cloudy,Jam ,0,Snack ,motorcycle ,NaN ,No ,Metropolitian ,(min) 41,"Road Number 45, Nandagiri Hills, Ward 95 Jubilee Hills, Greater Hyderabad Municipal Corporation Central Zone, Hyderabad, Shaikpet mandal, Hyderabad, Telangana, 500033, India","Swarnadhama Nagar, Ward 132 Jeedimetla, Greater Hyderabad Municipal Corporation North Zone, Hyderabad, Quthbullapur mandal, Medchal–Malkajgiri, Telangana, 500067, India"
C9CF,KOLRES15DEL03,21,4.7,22.552672,88.352885,22.582672,88.382885,15-02-2022,21:15:00,21:30:00,conditions Windy,Jam ,0,Meal ,motorcycle ,1,No ,Urban ,(min) 15,"Park Street, Ripon Street, Kolkata, West Bengal, 700016, India","Bagmari Road, Maniktala, Kolkata, West Bengal, 700054, India"
36B8,PUNERES19DEL02,25,4.1,18.563934,73.915367,18.643935,73.995367,16-03-2022,20:20:00,20:25:00,conditions Sandstorms,Jam ,0,Snack ,motorcycle ,2,No ,Metropolitian ,(min) 36,"Pune City, Pune, Maharashtra, 411011, India","Haveli, Pune, Maharashtra, India"
